iter	Passed	Remaining
277	819	654
278	823	652
279	827	650
280	835	651
281	838	648
282	841	645
283	844	642
284	849	641
285	853	638
286	856	635
287	859	632
288	862	629
289	866	627
290	868	624
291	875	623
292	878	620
293	882	618
294	885	615
295	889	612
296	892	610
297	896	607
298	900	605
299	904	603
300	908	600
301	912	598
302	916	595
303	920	593
304	924	591
305	928	588
306	931	585
307	935	583
308	939	580
309	942	577
310	945	574
311	948	571
312	951	568
313	955	565
314	958	562
315	961	559
316	965	557
317	969	554
318	972	551
319	976	549
320	979	546
321	983	543
322	987	540
323	990	538
324	994	535
325	997	532
326	1001	529
327	1004	526
328	1006	523
329	1010	520
330	1014	517
331	1018	515
332	1023	513
333	1027	510
334	1031	507
335	1035	505
336	1038	502
337	1042	499
338	1047	497
339	1051	494
340	1055	492
341	1059	489
342	1063	486
343	1068	484
344	1072	481
345	1076	479
346	1081	476
347	1085	474
348	1089	471
349	1092	468
350	1096	465
351	1099	462
352	1104	459
353	1108	457
354	1115	455
355	1120	453
356	1125	450
357	1129	448
358	1134	445
359	1138	442
360	1142	439
361	1145	436
362	1149	433
363	1151	430
364	1155	427
365	1158	424
366	1163	421
367	1169	419
368	1174	416
369	1178	414
370	1182	411
371	1186	408
372	1190	405
373	1194	402
374	1199	399
375	1205	397
376	1209	394
377	1213	391
378	1219	389
379	1225	387
380	1230	384
381	1234	381
382	1237	377
383	1241	375
384	1245	371
385	1251	369
386	1254	366
387	1258	363
388	1262	360
389	1266	357
390	1270	354
391	1275	351
392	1279	348
393	1284	345
394	1291	343
395	1295	340
396	1299	337
397	1303	333
398	1306	330
399	1309	327
400	1312	324
401	1315	320
402	1319	317
403	1323	314
404	1328	311
405	1334	308
406	1338	305
407	1341	302
408	1345	299
409	1349	296
410	1353	292
411	1357	289
412	1361	286
413	1365	283
414	1369	280
415	1374	277
416	1377	274
417	1380	270
418	1383	267
419	1386	264
420	1388	260
421	1392	257
422	1394	253
423	1397	250
424	1399	246
425	1401	243
426	1404	240
427	1407	236
428	1409	233
429	1412	230
430	1416	226
431	1419	223
432	1422	220
433	1427	217
434	1430	213
435	1434	210
436	1437	207
437	1441	204
438	1444	200
439	1448	197
440	1452	194
441	1455	191
442	1459	187
443	1463	184
444	1466	181
445	1469	177
446	1473	174
447	1477	171
448	1480	168
449	1483	164
450	1486	161
451	1490	158
452	1494	155
453	1498	151
454	1503	148
455	1506	145
456	1511	142
457	1514	138
458	1518	135
459	1521	132
460	1525	129
461	1528	125
462	1532	122
463	1536	119
464	1539	115
465	1543	112
466	1545	109
467	1548	105
468	1552	102
469	1555	99
470	1559	96
471	1563	92
472	1567	89
473	1571	86
474	1575	82
475	1579	79
476	1583	76
477	1588	73
478	1593	69
479	1598	66
480	1602	63
481	1606	60
482	1610	56
483	1613	53
484	1617	50
485	1621	46
486	1624	43
487	1628	40
488	1632	36
489	1636	33
490	1640	30
491	1644	26
492	1648	23
493	1651	20
494	1654	16
495	1658	13
496	1661	10
497	1664	6
498	1669	3
499	1672	0
